"Gene"	"logFC"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"B"
"SH3RF3"	"SH3RF3"	-0.784703747617222	6.71955322555102	-4.49507818229304	1.93004225348091e-05	0.00789755408700451	2.65438187993585
"COL6A2"	"COL6A2"	-1.33207436757416	11.1789316341633	-4.48888499992349	1.97702253266451e-05	0.00789755408700451	2.6328628900628
"TGFBI"	"TGFBI"	-1.05761224449282	10.7873383530204	-4.48647308905606	1.99561640210687e-05	0.00789755408700451	2.62448745542858
"OLFML3"	"OLFML3"	-1.35098235086125	9.56201270944898	-4.45933951975939	2.21679601578281e-05	0.00860415268972008	2.53046116631221
"COL6A3"	"COL6A3"	-1.20665685355981	11.6095972800102	-4.44745158396987	2.32100016132917e-05	0.00883863136907673	2.48937956551657
"SH3D19"	"SH3D19"	-0.833187826995215	8.68588403255102	-4.44028443647613	2.38609441501521e-05	0.0089182488107874	2.46464543686219
"MYOG"	"MYOG"	0.854673232655502	5.1534475375	4.36346882772829	3.2042294345205e-05	0.0117583568503504	2.20115679099401
"LOC101928491"	"LOC101928491"	0.265909816229666	3.77364324535714	4.34261113808959	3.46946712029816e-05	0.0125043312301746	2.13012409261894
"KCTD12"	"KCTD12"	-1.04321677444976	10.5506452376224	-4.32163371697679	3.7575236261467e-05	0.0133049297099156	2.05890684650255
"KRTDAP"	"KRTDAP"	-2.67490423530143	11.417013630551	-4.28937441397606	4.24596006370951e-05	0.0147752089596292	1.94982814507448
"SULF2"	"SULF2"	-0.983676643162677	8.49843268664286	-4.27714789507319	4.44661631294983e-05	0.0152111961091977	1.90862670812162
"POSTN"	"POSTN"	-1.64273804173205	9.92893446518367	-4.26696539626453	4.62066846144589e-05	0.0155431585928937	1.87437242632066
"PI15"	"PI15"	-1.29810626956938	5.82112465654082	-4.23666735475133	5.17822869693447e-05	0.0171331458672506	1.77276818408089
"CHPF2"	"CHPF2"	-0.450863139578945	7.0443171155102	-4.2184977120013	5.54307427601915e-05	0.0180444948569185	1.71206706511767
"FRMD6"	"FRMD6"	-0.94937884036842	10.3129570824388	-4.20478250349441	5.8347247336597e-05	0.0184049622162776	1.66636251518887
"NFATC1"	"NFATC1"	-0.856427847521529	8.20266974786735	-4.20471542349501	5.83618679998894e-05	0.0184049622162776	1.6661392221307
"GPNMB"	"GPNMB"	-1.18006116242584	11.585253999102	-4.19255163574974	6.10721257738414e-05	0.018799895711197	1.62568832617223
"PDPN"	"PDPN"	-0.9576871695933	6.06619417985714	-4.19077864001764	6.14771400158054e-05	0.018799895711197	1.6197987501808
"WLS"	"WLS"	-0.827627348421052	8.08864583681633	-4.17518336268481	6.51526409052903e-05	0.0194957682569115	1.56806605117407
"MAF"	"MAF"	-0.84309243023923	10.4810253062653	-4.17299662603177	6.56845980017829e-05	0.0194957682569115	1.56082256196266
"ATXN1"	"ATXN1"	-1.05185399964593	8.54780848096939	-4.15562575684223	7.00611449893379e-05	0.0204933925988378	1.50337297106374
"AHR"	"AHR"	-0.861056970679424	9.22497873628571	-4.14155049887729	7.38115174466725e-05	0.0212819693803742	1.45694142762664
"TPTEP1"	"TPTEP1"	0.783419946755987	5.47525521245918	4.12241593527801	7.92202888359141e-05	0.0219219379797517	1.39399139892027
"MIR100HG"	"MIR100HG"	-0.998008967459329	7.33058201523469	-4.12229650271841	7.92552147243173e-05	0.0219219379797517	1.39359910392446
"PCOLCE"	"PCOLCE"	-1.20404354453588	9.78923684312245	-4.12217905695603	7.92895740237763e-05	0.0219219379797517	1.39321334240676
"NTM"	"NTM"	-1.14911325780861	7.39023338666327	-4.11122302947652	8.25584656670785e-05	0.0225172636832249	1.35726012641958
"IL12RB2"	"IL12RB2"	-0.396905878770336	4.33798518385714	-4.09791050851959	8.67046846721233e-05	0.0233328086764995	1.31366159766249
"LOC728485"	"LOC728485"	0.685051030645936	5.20644461830612	4.09263279165367	8.84031337695073e-05	0.0234566228991682	1.29640378279035
"MYOF"	"MYOF"	-0.980893726038276	7.86127411135714	-4.08930881352477	8.94891722358396e-05	0.0234566228991682	1.28554237659518
"DZIP1"	"DZIP1"	-0.949817472703346	4.67722860793878	-4.08452647450785	9.10741766571239e-05	0.0235314685053175	1.26992623157754
"FMNL3"	"FMNL3"	-0.709645034306219	6.60690967941837	-4.08145437246762	9.21065258841641e-05	0.0235314685053175	1.25990125529191
"CLCNKB"	"CLCNKB"	0.42195967630622	5.14307054276531	4.07605117386346	9.39495027360376e-05	0.0235636363758408	1.24228191180498
"XCL1"	"XCL1"	-1.17739977122966	5.41625475381633	-4.07060323841754	9.58435139962906e-05	0.0235636363758408	1.22453289101674
"S100A10"	"S100A10"	-1.01891390429665	11.6433071136633	-4.06627921511728	9.73727959278701e-05	0.0235636363758408	1.21045710219767
